,Molecule_ChEMBL_ID,Molecule_Name,Molecule_Max_Phase,Molecular_Weight,#RO5_Violations,AlogP,Compound_Key,Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,Data_Validity_Comment,Comment,Uo_Units,Ligand_Efficiency_BEI,Ligand_Efficiency_LE,Ligand_Efficiency_LLE,Ligand_Efficiency_SEI,Potential_Duplicate,Assay_ChEMBL_ID,Assay_Description,Assay_Type,BAO_Format_ID,BAO_Label,Assay_Organism,Assay_Tissue_ChEMBL_ID,Assay_Tissue_Name,Assay_Cell_Type,Assay_Subcellular_Fraction,Assay_Parameters,Assay_Variant_Accession,Assay_Variant_Mutation,Target_ChEMBL_ID,Target_Name,Target_Organism,Target_Type,Document_ChEMBL_ID,Source_ID,Source_Description,Document_Journal,Document_Year,Cell_ChEMBL_ID,Properties,Standard_Value_nM,base_rdkit_smiles
1009,CHEMBL92667,,0.0,293.41,0.0,3.77,4b,CN(C)CC1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1,Ki,'=',0.7,nM,9.15,,,UO_0000065,31.2,0.57,5.38,73.42,False,CHEMBL691453,Ability to displace [3H]pyrilamine from human cloned histamine H1 receptor expressed in CHO cells,B,BAO_0000219,cell-based format,,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149209,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2004.0,CHEMBL3308072,,0.7,CN(C)CC1C[C@@H]2c3ccccc3Cc3ccccc3[C@H]2O1
1010,CHEMBL480,LANSOPRAZOLE,4.0,369.37,0.0,3.52,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
1011,CHEMBL395110,MEPAZINE,4.0,310.47,0.0,4.63,MEPAZINE,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,Ki,'=',3.1260000000000003,nM,8.51,,,UO_0000065,27.39,0.53,3.88,131.25,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,3.1260000000000003,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
1012,CHEMBL1149,LEVOCARNITINE,4.0,161.2,0.0,-1.81,LEVOCARNITINE,C[N+](C)(C)C[C@H](O)CC(=O)[O-],IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
1013,CHEMBL500,PINDOLOL,4.0,248.33,0.0,1.91,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC(C)NCC(O)COc1cccc2[nH]ccc12
1015,CHEMBL1200585,OXYMETHOLONE,4.0,332.48,0.0,4.4,OXYMETHOLONE,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
1016,CHEMBL527,PIROXICAM,4.0,331.35,0.0,1.58,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
1017,CHEMBL2107797,NORGESTREL,4.0,312.45,0.0,3.88,NORGESTREL,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
1018,CHEMBL511,PYRILAMINE,4.0,285.39,0.0,2.66,Mepyramine,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,IC50,'=',158.49,nM,6.8,,,UO_0000065,,,,,False,CHEMBL1224928,Inverse agonist activity at human wild-type histamine H1 receptor N7.45L mutant assessed as NF-kappaB activation after 48 hrs by luciferase reporter gene assay,F,BAO_0000019,assay format,Homo sapiens,,,,,,P35367,N460L,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1221171,1,Scientific Literature,Nat. Chem. Biol.,2005.0,,,158.49,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
1019,CHEMBL90,HISTAMINE,4.0,111.15,0.0,-0.09,1,NCCc1c[nH]cn1,Ki,'=',12589.25,nM,4.9,,,UO_0000065,44.08,0.84,4.99,8.96,False,CHEMBL1224926,Displacement of [3H]mepyramine from human histamine H1 receptor N7.45S mutant expressed in COS-7 cells by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,COS-7,,,P35367,N460S,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1221171,1,Scientific Literature,Nat. Chem. Biol.,2005.0,CHEMBL3307648,,12589.25,NCCc1c[nH]cn1
1022,CHEMBL1431,METFORMIN,4.0,129.17,0.0,-1.03,METFORMIN,CN(C)C(=N)NC(=N)N,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CN(C)C(=N)NC(=N)N
1023,CHEMBL462547,URETHANE,4.0,89.09,0.0,0.1,URETHANE,CCOC(N)=O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CCOC(N)=O
1024,CHEMBL571,KETOPROFEN,4.0,254.29,0.0,3.11,KETOPROFEN,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
1025,CHEMBL447,SECOBARBITAL,4.0,238.29,0.0,1.35,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
1026,CHEMBL902,FAMOTIDINE,4.0,337.46,0.0,-0.77,FAMOTIDINE,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
1027,CHEMBL1535,HYDROXYCHLOROQUINE,4.0,335.88,0.0,3.78,HCQ,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
1028,CHEMBL457,GEMFIBROZIL,4.0,250.34,0.0,3.57,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
1029,CHEMBL1103,FURAZOLIDONE,4.0,225.16,0.0,0.97,FURAZOLIDONE,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1
1030,CHEMBL182,GANCICLOVIR,4.0,255.23,0.0,-1.56,GANCICLOVIR,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Nc1nc(O)c2ncn(COC(CO)CO)c2n1
1031,CHEMBL1515,METHIMAZOLE,4.0,114.17,0.0,1.08,METHIMAZOLE,Cn1cc[nH]c1=S,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,Cn1cc[nH]c1=S
1032,CHEMBL2031885,,0.0,431.58,0.0,4.07,50,C[C@@H]1CCCN1CCN1CCc2cc(-c3ccc(C(=O)N4CCCC4)cc3)ccc2C1=O,Ki,'=',8750.0,nM,5.06,,,UO_0000065,11.72,0.22,0.99,11.53,False,CHEMBL2034395,Binding affinity to H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2029265,1,Scientific Literature,J. Med. Chem.,2012.0,,,8750.0,C[C@@H]1CCCN1CCN1CCc2cc(-c3ccc(C(=O)N4CCCC4)cc3)ccc2C1=O
1033,CHEMBL589390,LATREPIRDINE,3.0,319.45,0.0,3.88,"3{1}, I, Dimebone, dimebolin",Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,IC50,'=',160.0,nM,6.8,,,UO_0000065,,,,,False,CHEMBL1786003,Antagonist activity at human histamine H1 receptor in SK-N-SH cells assessed as inhibition of histamine-induced calcium level increase during phase-1 compound incubated before histamine addition by Fura-2 based fluorometric assay,F,BAO_0000219,cell-based format,Homo sapiens,,,SK-N-SH,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1782051,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,CHEMBL3307745,,160.0,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1
1035,CHEMBL24665,,0.0,255.24,0.0,2.6,17b,NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1,IC50,'=',1000.0,nM,6.0,,,UO_0000065,23.51,0.46,3.4,10.97,False,CHEMBL692983,Inhibitory activity against human Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145948,1,Scientific Literature,J. Med. Chem.,2003.0,,,1000.0,NCCc1c[nH]c(-c2cccc(C(F)(F)F)c2)n1
1038,CHEMBL2205821,,0.0,307.44,0.0,2.77,39,OC12C3C4CC5C6C4C1C6C(C53)N2CCCCc1ccccc1,Ki,,,,,,Not Determined,,,,,,False,CHEMBL2210356,Binding affinity to Histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2203059,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,,,,OC12C3C4CC5C6C4C1C6C(C53)N2CCCCc1ccccc1
1039,CHEMBL59389,,0.0,123.16,0.0,0.22,9,N[C@@H]1C[C@@H]1c1c[nH]cn1,EC50,'>',0.0001,nM,,Outside typical range,,UO_0000065,,,,,False,CHEMBL691450,Inhibition of human Histamine H1 receptor using [3H]pyrilamine,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1145038,1,Scientific Literature,J. Med. Chem.,2003.0,,,0.0001,N[C@@H]1C[C@@H]1c1c[nH]cn1
1041,CHEMBL2158817,,0.0,479.4,0.0,4.36,"10, isomeric mixture",O=C(O)C(c1ccccc1)N1CCO[C@@H](CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)C1,Ki,'=',19.95,nM,7.7,,,UO_0000065,16.06,0.33,3.34,12.37,False,CHEMBL2160725,Binding affinity to histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2157884,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,,,19.95,O=C(O)C(c1ccccc1)N1CCO[C@@H](CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)C1
1042,CHEMBL2158821,,0.0,477.43,1.0,5.37,27,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,Ki,'=',100.0,nM,7.0,,,UO_0000065,14.66,0.3,1.63,13.21,False,CHEMBL2160725,Binding affinity to histamine H1 receptor,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2157884,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,,,100.0,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1
1046,CHEMBL2207666,,0.0,490.39,0.0,3.47,20,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12,Ki,'=',3.981,nM,8.4,,,UO_0000065,17.13,0.35,4.93,8.87,True,CHEMBL2215810,Displacement of [3H]-pyrilamine from human histamine H1 receptor expressed in recombinant CHOK1 cells after 1 hr,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2202969,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2012.0,CHEMBL3307512,,3.981,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12
1047,CHEMBL456,ETHACRYNIC ACID,4.0,303.14,0.0,3.61,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1048,CHEMBL914,FEXOFENADINE,4.0,501.67,2.0,5.51,FEXOFENADINE,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
1052,CHEMBL90,HISTAMINE,4.0,111.15,0.0,-0.09,Histamine,NCCc1c[nH]cn1,EC50,'=',190.55,nM,6.72,,,UO_0000065,60.46,1.15,6.81,12.29,True,CHEMBL1121259,Activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase activity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1157755,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,CHEMBL3308860,,190.55,NCCc1c[nH]cn1
1053,CHEMBL1091778,,0.0,310.47,0.0,4.55,"17a, (+)-R",C[C@@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12,Ki,'=',79000.0,nM,4.1,,,UO_0000065,13.21,0.25,-0.45,25.43,False,CHEMBL1106977,Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1156278,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,CHEMBL3308072,,79000.0,C[C@@H](c1cccnc1)c1c(CCN(C)C)sc2ccccc12
1054,CHEMBL1094142,,0.0,365.55,0.0,3.21,(+/-)-8,Cc1nc(N)sc1CCCNC(=N)NC(=O)CC(C)C1CCCCC1,EC50,'>',10000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1121259,Activity at human recombinant histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase activity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,Sf9,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1157755,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,CHEMBL3308860,,10000.0,Cc1nc(N)sc1CCCNC(=N)NC(=O)CC(C)C1CCCCC1
1055,CHEMBL590241,,0.0,313.44,0.0,4.56,3b,c1ccc(CCNCC2c3ccccc3Cc3ccccc32)cc1,Ki,'=',242.0,nM,6.62,,,UO_0000065,21.11,0.38,2.06,55.0,False,CHEMBL1074172,Displacement of [3H]Pyrilamine from human cloned histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1159090,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,,,242.0,c1ccc(CCNCC2c3ccccc3Cc3ccccc32)cc1
1056,CHEMBL609328,,0.0,327.47,0.0,4.95,3c,c1ccc(CCCNCC2c3ccccc3Cc3ccccc32)cc1,Ki,'=',725.0,nM,6.14,,,UO_0000065,18.75,0.34,1.19,51.04,False,CHEMBL1074172,Displacement of [3H]Pyrilamine from human cloned histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1159090,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010.0,,,725.0,c1ccc(CCCNCC2c3ccccc3Cc3ccccc32)cc1
1057,CHEMBL1172775,,0.0,271.36,0.0,2.88,17h,COc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1,Ki,'>',1000.0,nM,,,,UO_0000065,,,,,False,CHEMBL1177487,Displacement of [3H]rilamine from human histamine H1 receptor expressed in CHO cells after 1 hr by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1177637,1,Scientific Literature,Bioorg. Med. Chem.,2010.0,CHEMBL3308072,,1000.0,COc1ccc(N2CCC(Cc3c[nH]cn3)CC2)cc1
1058,CHEMBL583014,,0.0,489.46,1.0,5.04,4i,Cc1cc(N(C)C)nc(N[C@H]2CC[C@@H](NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)n1,IC50,'=',1210.0,nM,5.92,,,UO_0000065,12.09,0.24,0.88,8.44,False,CHEMBL1037062,Displacement of [3H]pyrilamine from human histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1156067,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,,,1210.0,Cc1cc(N(C)C)nc(N[C@H]2CC[C@@H](NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)n1
1059,CHEMBL565551,,0.0,371.46,0.0,3.14,4l,Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)CC2)nc1N(C)C,IC50,'=',810.0,nM,6.09,,,UO_0000065,16.4,0.31,2.95,8.68,False,CHEMBL1037062,Displacement of [3H]pyrilamine from human histamine H1 receptor,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1156067,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2009.0,,,810.0,Cc1cnc(N[C@H]2CC[C@@H](NC(=O)c3ccc(F)cc3)CC2)nc1N(C)C
1060,CHEMBL472,GLYBURIDE,4.0,494.01,0.0,3.64,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,IC50,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
1061,CHEMBL95764,GLYPHOSATE,0.0,169.07,0.0,-1.2,GLYPHOSATE,O=C(O)CNCP(=O)(O)O,Ki,,,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,False,CHEMBL1909156,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",B,BAO_0000249,cell membrane format,,,,CHO-K1,Membrane,,,,CHEMBL231,Histamine H1 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1909046,15,DrugMatrix,,,CHEMBL3307512,,,O=C(O)CNCP(=O)(O)O
