compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL691,BFPYWIDHMRZLRN-SLHNCBLASA-N,ETHINYL ESTRADIOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL283036,BFQIOOYNLCWKIJ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,11378358.0,KI,>,10000,NM,,,,,,,,,,,,,,,Binding affinity to cloned Histamine H1 receptor,Synthesis of potent and selective dopamine D(4) antagonists as candidate radioligands.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL509387,BFVXDLZRORZNHX-OCIDDWSYSA-N,(-)-TABERSONINE HCL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,9182127.0,ACTIVITY,,,,Not Active,,,,,,,,,,,,,,Displacement of radioligand from histamine H1 receptor by liquid scintillation spectrometry,"Perhydrogenation of tabersonine, ans Aspidiosperma indole alkaloid.",J. Nat. Prod.,PUBLICATION,
CHEMBL1200604,BGDKAVGWHJFAGW-UHFFFAOYSA-N,TROPICAMIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1200604,BGDKAVGWHJFAGW-UHFFFAOYSA-N,TROPICAMIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL315790,BGGSRICBOHRXMJ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,11755365.0,PIC50,,,,Not Determined,,cell_based,,,,,CHO,,,,,,,Binding affinity for human cloned Histamine H1 receptor expressed in CHO cells using [3H]pyrilamine as radioligand; not tested,"Synthesis and structure-activity relationship of 2-(aminoalkyl)-2,3,3a,8-tetrahydrodibenzo[c,f]isoxazolo[2,3-a]azepine derivatives: a novel series of 5-HT(2A/2C) receptor antagonists. Part 2.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL267044,BGRJTUBHPOOWDU-NSHDSACASA-N,LEVOSULPIRIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL267044,BGRJTUBHPOOWDU-NSHDSACASA-N,LEVOSULPIRIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL26,BGRJTUBHPOOWDU-UHFFFAOYSA-N,SULPIRIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL26,BGRJTUBHPOOWDU-UHFFFAOYSA-N,SULPIRIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1092812,BHMPPLVSPUZBNL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,20188547.0,KI,=,120,NM,,,cell_based,,,,,CHO,,,,,,,Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting,Novel benzothiophene H1-antihistamines for the treatment of insomnia.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL205596,BHQCQFFYRZLCQQ-OELDTZBJSA-N,CHOLIC ACID,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL205596,BHQCQFFYRZLCQQ-OELDTZBJSA-N,CHOLIC ACID,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL64667,BHZVLTKKVOPLTE-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,12113835.0,KI,=,1047.13,NM,,,,,,,,,,,,,,,Binding affinity for the human Histamine H1 Receptor,Structure-activity relationships of non-imidazole H(3) receptor ligands. Part 1.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL3622346,BIALXFMHWCNRAQ-OQIWPSSASA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,25801931.0,INHIBITION,=,19,%,,,,,,,,,,,,,,,Inhibition of human histamine H1 receptor at 10 uM relative to control,Pseudosaccharin amines as potent and selective KV1.5 blockers.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL3084803,BIDUPMYXGFNAEJ-APGVDKLISA-N,ASTROMICIN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3084803,BIDUPMYXGFNAEJ-APGVDKLISA-N,ASTROMICIN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1629810,BIIFEDMBGOQTDO-USCPGHQQSA-N,2-HYDROXYPROPYL-BETA-CYCLODEXTRIN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1629810,BIIFEDMBGOQTDO-USCPGHQQSA-N,2-HYDROXYPROPYL-BETA-CYCLODEXTRIN,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1935426,BITWXVYTBYRISR-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22153342.0,KI,>,10000,NM,,,,,,,,,,,,,,,Binding affinity to human histamine H1 receptor,"Synthesis and evaluation of 4-alkoxy-[1'-cyclobutyl-spiro(3,4-dihydrobenzopyran-2,4'-piperidine)] analogues as histamine-3 receptor antagonists.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1078746,BIXSTJUYDSCGLQ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,19791743.0,PEC50,,,,Not Determined,,cell_based,,,,,,,,,,,,Agonist activity at human histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase assay,Synthesis and structure-activity relationships of cyanoguanidine-type and structurally related histamine H4 receptor agonists.,J. Med. Chem.,PUBLICATION,
CHEMBL1078746,BIXSTJUYDSCGLQ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,19791743.0,PKB,,,,Not Determined,,cell_based,,,,,,,,,,,,Antagonist activity at human histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase assay,Synthesis and structure-activity relationships of cyanoguanidine-type and structurally related histamine H4 receptor agonists.,J. Med. Chem.,PUBLICATION,
CHEMBL445206,BJIOGJUNALELMI-ARJAWSKDSA-N,ISOEUGENOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL445206,BJIOGJUNALELMI-ARJAWSKDSA-N,ISOEUGENOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL402794,BJQHLKABXJIVAM-BGYRXZFFSA-N,BIS(2-ETHYLHEXYL)PHTHALATE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL402794,BJQHLKABXJIVAM-BGYRXZFFSA-N,BIS(2-ETHYLHEXYL)PHTHALATE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL430368,BKLPUYQJSHHECO-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18052318.0,KI,<,2511.89,NM,,,cell_based,,,,,CHO,,,,,,,Antagonist activity at human recombinant histamine H1 receptor expressed in CHO cells assessed as inhibition of histamine-induced cellular calcium mobilization,4-acyl-1-(4-aminoalkoxyphenyl)-2-ketopiperazines as a novel class of non-brain-penetrant histamine H3 receptor antagonists.,J. Med. Chem.,PUBLICATION,
CHEMBL157138,BKRGVLQUQGGVSM-KBXCAEBGSA-N,LISURIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,=,160,NM,,,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL157138,BKRGVLQUQGGVSM-KBXCAEBGSA-N,LISURIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,=,19,NM,,,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL600053,BKYSPAJPVPEZOE-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,19954972.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Inhibition of histamine H1 receptor at 10 uM,"Oxo-bridged isomers of aza-trishomocubane sigma (sigma) receptor ligands: Synthesis, in vitro binding, and molecular modeling.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL278172,BLFLLBZGZJTVJG-UHFFFAOYSA-N,BENZOCAINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL278172,BLFLLBZGZJTVJG-UHFFFAOYSA-N,BENZOCAINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL15245,BLGXFZZNTVWLAY-SCYLSFHTSA-N,YOHIMBINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL15245,BLGXFZZNTVWLAY-SCYLSFHTSA-N,YOHIMBINE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL499,BLJRIMJGRPQVNF-JTQLQIEISA-N,TIMOLOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL499,BLJRIMJGRPQVNF-JTQLQIEISA-N,TIMOLOL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1306,BLSQLHNBWJLIBQ-OZXSUGGESA-N,TERCONAZOLE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1306,BLSQLHNBWJLIBQ-OZXSUGGESA-N,TERCONAZOLE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL567597,BLUAFEHZUWYNDE-DKGJTOOQSA-N,ARTEMISININ,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL567597,BLUAFEHZUWYNDE-DKGJTOOQSA-N,ARTEMISININ,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1070,BLXXJMDCKKHMKV-UHFFFAOYSA-N,NABUMETONE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1070,BLXXJMDCKKHMKV-UHFFFAOYSA-N,NABUMETONE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL2203713,BLZNLOLTHDUEOL-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22840695.0,INHIBITION,=,3,%,,,cell_based,,,,,HEK293,,,,,,,Displacement of [3H]pyrilamine from human recombinant histamine H1 receptor expressed in HEK293 cells at 10 uM after 60 mins,"Discovery of a potent, orally bioavailable and highly selective human neuronal nitric oxide synthase (nNOS) inhibitor, N-(1-(piperidin-4-yl)indolin-5-yl)thiophene-2-carboximidamide as a pre-clinical development candidate for the treatment of migraine.",Eur. J. Med. Chem.,PUBLICATION,
CHEMBL1381010,BMBIEKJDTGAZCY-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,Ki,<,10000,NM,,,,,,,,,,,,,,,Displacement of [3H]-mepyramine from human histamine H1 receptor expressed in HEK293T cells after 1 to 1.5 hrs by liquid scintillation counting analysis,Structure-based virtual screening for fragment-like ligands of the G protein-coupled histamine H4receptor,MedChemComm,PUBLICATION,
CHEMBL1078735,BMCMMMRTWLCMFW-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,19791743.0,PEC50,,,,Not Determined,,cell_based,,,,,,,,,,,,Agonist activity at human histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase assay,Synthesis and structure-activity relationships of cyanoguanidine-type and structurally related histamine H4 receptor agonists.,J. Med. Chem.,PUBLICATION,
CHEMBL1078735,BMCMMMRTWLCMFW-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,19791743.0,PKB,,,,Not Determined,,cell_based,,,,,,,,,,,,Antagonist activity at human histamine H1 receptor expressed in Sf9 cells coexpressing RGS4 by steady-state GTPase assay,Synthesis and structure-activity relationships of cyanoguanidine-type and structurally related histamine H4 receptor agonists.,J. Med. Chem.,PUBLICATION,
CHEMBL2432063,BMHWWKPJPARTBN-RAOGCBAWSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,23981939.0,INHIBITION,<,50,%,,,,,,,,,,,,,,,Inhibition of histamine H1 receptor (unknown origin) at 10 uM by PDSP assay relative to control,"N-substituted 8-aminopentacyclo[5.4.0.0(2,6).0(3,10).0(5,9)]undecanes as s receptor ligands with potential neuroprotective effects.",Bioorg. Med. Chem.,PUBLICATION,
CHEMBL302005,BMMSDSQQAGDCHS-RQZCQDPDSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16220969.0,KI,=,11,NM,,,,,,,,,,,,,,,Inhibition constant against histamine H1 receptor,Designed multiple ligands. An emerging drug discovery paradigm.,J. Med. Chem.,PUBLICATION,
CHEMBL302005,BMMSDSQQAGDCHS-RQZCQDPDSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22931505.0,KI,=,11,NM,,,,,,,,,,,,,,,Binding affinity to histamine H1 receptor,Chemokine receptor antagonists.,J. Med. Chem.,PUBLICATION,
CHEMBL486153,BMUUWLQTYRICEF-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,18950149.0,KB,=,6000,NM,,,cell_based,,,,,U373 MG,,,,,,,Antagonist activity at histamine H1 receptor in human U373 MG cells assessed as inhibition of histamine-induced intracellular calcium level preincubated for 15 mins prior to histamine challenge,"Acylguanidines as bioisosteres of guanidines: NG-acylated imidazolylpropylguanidines, a new class of histamine H2 receptor agonists.",J. Med. Chem.,PUBLICATION,
CHEMBL192,BNRNXUUZRGQAQC-UHFFFAOYSA-N,SILDENAFIL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL192,BNRNXUUZRGQAQC-UHFFFAOYSA-N,SILDENAFIL,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL3124968,BNSBTAITEDOQSS-GOSISDBHSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,24410637.0,ACTIVITY,>,10,%,,,,,,,,,,,,,,,Activity at histamine H1 receptor (unknown origin) at 10 uM relative to control,Discovery of spirofused piperazine and diazepane amides as selective histamine-3 antagonists with in vivo efficacy in a mouse model of cognition.,J. Med. Chem.,PUBLICATION,
CHEMBL197796,BNXUKTBRYQQOIZ-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16143528.0,KI,>,10000,NM,,,,,,,,,,,,,,,Affinity towards cloned Histamine H1 receptor,Synthesis of potent and selective serotonin 5-HT1B receptor ligands.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL1200545,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,DIFLORASONE DIACETATE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL1200545,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,DIFLORASONE DIACETATE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL214311,BOQXUEKBVIXPKQ-JSGCOSHPSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16942032.0,EC50,>,10000,NM,,,cell_based,,,,,,,,,,,,Agonist activity at human H1 receptor expressed in 293-EBNA cells by luciferase reporter gene assay,Stereochemical diversity-oriented conformational restriction strategy. Development of potent histamine H3 and/or H4 receptor antagonists with an imidazolylcyclopropane structure.,J. Med. Chem.,PUBLICATION,
CHEMBL214311,BOQXUEKBVIXPKQ-JSGCOSHPSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16942032.0,IC50,=,8500,NM,,,cell_based,,,,,,,,,,,,Antagonist activity at human H1 receptor expressed in 293-EBNA cells assessed as inhibition of histamine agonist activity by luciferase reporter gene assay,Stereochemical diversity-oriented conformational restriction strategy. Development of potent histamine H3 and/or H4 receptor antagonists with an imidazolylcyclopropane structure.,J. Med. Chem.,PUBLICATION,
CHEMBL213886,BOQXUEKBVIXPKQ-TZMCWYRMSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16942032.0,EC50,>,10000,NM,,,cell_based,,,,,,,,,,,,Agonist activity at human H1 receptor expressed in 293-EBNA cells by luciferase reporter gene assay,Stereochemical diversity-oriented conformational restriction strategy. Development of potent histamine H3 and/or H4 receptor antagonists with an imidazolylcyclopropane structure.,J. Med. Chem.,PUBLICATION,
CHEMBL213886,BOQXUEKBVIXPKQ-TZMCWYRMSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,16942032.0,IC50,=,6800,NM,,,cell_based,,,,,,,,,,,,Antagonist activity at human H1 receptor expressed in 293-EBNA cells assessed as inhibition of histamine agonist activity by luciferase reporter gene assay,Stereochemical diversity-oriented conformational restriction strategy. Development of potent histamine H3 and/or H4 receptor antagonists with an imidazolylcyclopropane structure.,J. Med. Chem.,PUBLICATION,
CHEMBL427216,BOVGTQGAOIONJV-UHFFFAOYSA-N,GLICLAZIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL427216,BOVGTQGAOIONJV-UHFFFAOYSA-N,GLICLAZIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,,,,,,CHO-K1,,,,,,,"DRUGMATRIX: Histamine H1, Central radioligand binding (ligand: [3H] Pyrilamine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL539843,BOYLPLUVCXUHDJ-UHFFFAOYSA-N,VAPITADINE DIHYDROCHLORIDE,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,15771458.0,KI,=,19,NM,,,cell_based,,,,,CHO,,,,,,,Binding affinity for H1 histamine receptor expressed in CHO cells,"Norpiperidine imidazoazepines as a new class of potent, selective, and nonsedative H1 antihistamines.",J. Med. Chem.,PUBLICATION,
CHEMBL1940420,BPDDCCYSOYRMEC-UHFFFAOYSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,22245230.0,KI,=,262,NM,,,,,,,,,,,,,,,Displacement of [3H]pyrilamine from human H1 receptor by liquid scintillation counting,Multi-receptor drug design: Haloperidol as a scaffold for the design and synthesis of atypical antipsychotic agents.,Bioorg. Med. Chem.,PUBLICATION,
CHEMBL1774504,BPDWWCSMAZGENY-AQHIEDMUSA-N,,,P35367,HISTAMINE H1 RECEPTOR,HRH1,,,21470866.0,IC50,=,63,NM,,,cell_based,,,,,CHO-K1,,,,,,,Displacement of [3H]pyrilamine from human histamine H1 receptor expressed in CHO-K1 cells after 60 mins by scintillation counting,Synthesis and structure-activity relationship of tricyclic carboxylic acids as novel anti-histamines.,Bioorg. Med. Chem.,PUBLICATION,
